,EMG ,,,IMU 1,,,,,,,,,IMU 2,,,,,,,,,IMU 3,,,,,,,,,
Timestamp (uS),CH1,CH2,CH3,Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),
315595,105,87,77,-5.85937,2.92969,1022.46094,-0.10687,-0.43511,5.89313,-46.05000,-20.10000,11.25000,35.64453,422.85156,926.75781,1.49618,2.40458,0.45802,15.45000,-76.50000,57.30000,-3.41797,-191.40625,1008.30078,0.18321,0.35115,1.96183,-22.50000,43.20000,18.60000,
320596,105,87,79,-6.34766,10.25391,1024.41406,0.45038,0.48092,0.21374,-46.50000,-20.85000,9.60000,36.62109,426.26953,926.75781,1.19847,0.26718,1.61069,15.45000,-76.50000,57.30000,-12.69531,-193.35937,1013.67187,1.84733,-1.04580,-0.67939,-22.50000,43.20000,18.60000,
325660,106,89,75,-8.30078,2.44141,1012.69531,1.33588,-0.61832,-1.51908,-46.50000,-20.85000,9.60000,24.41406,416.01562,922.85156,2.33588,2.69466,-3.71756,15.75000,-76.20000,56.25000,3.90625,-191.40625,998.53516,-1.42748,-0.72519,-1.84733,-21.45000,43.65000,18.60000,
330670,105,87,75,-4.39453,-0.97656,1030.76172,-3.16031,2.29771,-2.57252,-46.95000,-21.45000,11.10000,47.85156,432.61719,920.41016,1.27481,0.83206,1.79389,15.75000,-76.20000,56.25000,-13.67187,-191.89453,1010.74219,-1.72519,1.70229,-2.30534,-21.45000,43.65000,18.60000,
335678,108,89,76,-18.06641,-0.48828,1011.23047,-0.92366,-0.15267,-0.89313,-46.95000,-21.45000,11.10000,29.78516,423.33984,928.22266,-1.07634,0.74046,0.65649,15.75000,-76.20000,56.25000,1.95312,-196.77734,1007.32422,-1.18321,2.54962,-1.97710,-20.85000,44.25000,19.05000,
340683,103,93,73,-1.95312,11.71875,1013.67187,1.30534,-0.09160,2.22137,-46.95000,-21.45000,11.10000,26.36719,412.59766,920.89844,3.83969,1.52672,2.81679,15.75000,-76.20000,56.25000,-19.04297,-186.52344,1005.37109,-0.31298,1.38168,-1.30534,-20.85000,44.25000,19.05000,
345686,105,91,72,-20.99609,-1.46484,1018.55469,0.67176,0.32824,-0.72519,-46.95000,-21.45000,11.10000,36.62109,427.73437,925.78125,0.35115,1.32824,0.47328,16.05000,-75.90000,56.70000,-22.46094,-189.94141,1008.30078,-1.29771,2.68702,1.01527,-21.60000,42.75000,18.75000,
350686,107,89,76,-15.13672,9.27734,1021.97266,-1.84733,2.05344,-2.20611,-46.35000,-20.25000,10.35000,36.62109,414.55078,920.41016,1.71756,0.23664,0.52672,16.05000,-75.90000,56.70000,-8.78906,-195.80078,1017.57812,-0.34351,-0.85496,2.53435,-21.60000,42.75000,18.75000,
355685,107,90,75,-12.69531,13.18359,1021.97266,-0.80153,1.87786,-0.40458,-46.35000,-20.25000,10.35000,27.83203,426.75781,910.15625,-0.18321,0.44275,-0.70992,16.05000,-76.65000,56.10000,-5.37109,-188.47656,1006.34766,0.93893,-0.35878,-2.35115,-20.70000,43.20000,19.95000,
360684,108,87,75,-7.32422,10.74219,1030.27344,1.30534,-1.96183,0.07634,-47.10000,-20.10000,9.15000,37.59766,412.10937,906.73828,2.68702,3.07634,3.06107,16.05000,-76.65000,56.10000,3.41797,-189.45312,1000.48828,-0.21374,0.77099,-0.15267,-20.70000,43.20000,19.95000,
