Timestamp (uS),IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ
690920,-29.29688,7.32422,1014.16016,-20.01953,0.97656,1024.41406,-14.16016,-66.89453,996.58203
695920,-22.46094,11.23047,1019.53125,-6.83594,10.25391,1002.44141,-13.67187,-55.66406,1027.83203
700920,-9.76562,2.44141,1035.15625,-9.27734,0.97656,1017.08984,-16.60156,-58.59375,1019.04297
705920,-16.60156,6.83594,1022.46094,-10.25391,10.74219,1004.88281,-22.46094,-57.12891,1030.27344
710920,-26.36719,-6.34766,1020.01953,-12.20703,-3.90625,1014.16016,-7.8125,-60.54688,1006.34766
715920,-11.23047,9.76562,1016.11328,-13.18359,-1.46484,1026.85547,-3.90625,-62.98828,999.02344
720920,-15.625,9.76562,1027.34375,-12.20703,7.32422,1015.625,0.0,-71.77734,1020.01953
725917,-14.16016,1.46484,1017.08984,-11.23047,1.46484,1012.20703,-7.32422,-63.47656,1025.39063
730917,-7.8125,9.27734,1013.67187,-9.76562,2.92969,1026.85547,-7.32422,-58.10547,1035.64453
735921,-8.30078,4.88281,1009.76562,-18.06641,0.48828,1016.60156,-6.83594,-67.38281,1027.34375
740923,-4.39453,8.78906,1026.85547,-7.32422,-0.97656,1025.87891,-11.23047,-62.98828,1010.25391
745924,-7.32422,12.69531,1015.13672,-9.76562,-3.41797,1015.13672,1.46484,-62.01172,1027.34375
750928,1.46484,18.06641,1008.30078,-8.78906,0.48828,1020.01953,0.0,-62.01172,1012.69531
755933,-8.78906,4.88281,1022.46094,-8.30078,17.08984,1034.17969,-2.44141,-66.40625,1029.29688
760937,-13.67187,12.69531,1021.48437,-3.90625,-2.44141,1017.08984,1.46484,-71.28906,1008.78906
765939,-3.41797,2.44141,1014.64844,6.83594,-0.97656,1010.25391,6.34766,-68.35938,994.14062
770942,-17.08984,1.46484,1018.06641,-3.90625,0.48828,1027.34375,-11.71875,-65.42969,1013.67187
775951,-10.25391,12.20703,1024.90234,-1.46484,14.64844,1002.92969,-11.71875,-76.66016,1030.76172
780958,-15.13672,-2.92969,1012.20703,-8.30078,4.88281,1012.69531,0.48828,-55.17578,1021.48437
785969,-16.11328,15.625,1024.90234,-20.99609,4.88281,1008.78906,-9.27734,-64.45313,1008.30078
790983,-10.25391,-2.44141,1024.41406,-9.76562,7.8125,1008.78906,-17.08984,-77.63672,1007.8125
795996,-4.39453,4.39453,1024.41406,-12.69531,2.92969,1016.11328,-20.50781,-80.07813,1009.27734
